requirement_id,requirement,actor_or_area,acceptance,release_scope,status,implementation_area,evidence_and_remaining_work
GEN-FR-008,The system shall detect and reject parent-child ancestry cycles.,System,Mutation that creates a cycle returns a validation error.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy,Existing M3/M4 acceptance; assess every requirement against current head
GEN-FR-009,"The tree shall display navigable parents, grandparents, spouses, children, siblings, descendants and extended relatives.",Member,User can traverse connected permitted People.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy,Existing M3/M4 acceptance; assess every requirement against current head
GEN-FR-010,The family tree shall use progressive expansion/lazy loading for large genealogy networks.,Member,Initial view remains responsive without loading the full graph.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy,Existing M3/M4 acceptance; assess every requirement against current head
GEN-FR-011,The system shall support family branches and generations.,Admin/Member,People can be assigned/derived and searched by branch/generation.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy,Existing M3/M4 acceptance; assess every requirement against current head
GEN-FR-012,"Verified branches shall be connectable through approved shared ancestry, marriage or supported connection.",Super Admin,Cross-branch link is visible only after authorized approval and audit.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy,Existing M3/M4 acceptance; assess every requirement against current head
GEN-FR-013,Genealogy facts shall retain source/provenance metadata.,Admin,Authorized user can identify import/request/admin source of governed fact.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy,Existing M3/M4 acceptance; assess every requirement against current head
GEN-FR-014,A member shall be able to request recording a death.,Member,Request enters approval flow and official status does not change before approval.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy,Existing M3/M4 acceptance; assess every requirement against current head
GEN-FR-015,Approved death record shall update life status and trigger dependent calendar/Jutho workflows.,System,Dependent jobs run only after official commit.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy,Existing M3/M4 acceptance; assess every requirement against current head
GEN-FR-016,Authorized administrators shall create/edit Person records directly only with justification and full audit.,Admin,Privileged direct mutation requires reason and audit record.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy,Existing M3/M4 acceptance; assess every requirement against current head
GEN-FR-017,Erroneous Person records shall be archived/deactivated rather than casually hard-deleted.,Super Admin,Archived Person is excluded from normal views but remains traceable.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy,Existing M3/M4 acceptance; assess every requirement against current head
GEN-FR-018,Authorized governance roles shall export genealogy data subject to privacy filtering.,Admin,Export is permission-controlled and audited.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy,Existing M3/M4 acceptance; assess every requirement against current head
SRCH-FR-001,Search shall find People by Nepali/English name and normalized spelling variants.,Member/Admin,Relevant matches return within performance target.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy/search,Existing M3 search coverage; production-scale and locale acceptance outstanding
SRCH-FR-002,"Person search shall support branch, generation, location and life-status filters.",Member/Admin,Filters constrain result set correctly.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy/search,Existing M3 search coverage; production-scale and locale acceptance outstanding
SRCH-FR-003,Search responses shall contain only viewer-permitted data.,System,Hidden contact/location/private fields never leak into result payloads.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy/search,Existing M3 search coverage; production-scale and locale acceptance outstanding
SRCH-FR-004,Search shall identify possible existing People during claim/new-Person flows.,System,Candidate matches are shown or flagged before new record creation.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy/search,Existing M3 search coverage; production-scale and locale acceptance outstanding
SRCH-FR-005,"Search shall support cultural content, events and community content in their respective modules.",Member,Results are categorized and deep-link correctly.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy/search,Existing M3 search coverage; production-scale and locale acceptance outstanding
SRCH-FR-006,Search shall support transliteration/alias normalization without altering source names.,System,Configured search keys improve recall.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy/search,Existing M3 search coverage; production-scale and locale acceptance outstanding
SRCH-FR-007,Search APIs shall paginate and sort deterministically.,System,Large sets paginate without duplicate or missing records.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy/search,Existing M3 search coverage; production-scale and locale acceptance outstanding
SRCH-FR-008,Admin search shall support exact Person/User/Request ID lookup.,Admin,Authorized exact-ID lookup resolves directly.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy/search,Existing M3 search coverage; production-scale and locale acceptance outstanding
CLAIM-FR-001,A registered member shall search the genealogy before requesting a new Person.,Member,New-Person flow presents possible matches first.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/claims,M4 real Android/API acceptance at 8bfe0fb; later changes require exact-head CI
CLAIM-FR-002,A member shall submit a claim for an existing Person.,Member,"Claim captures user, Person, context/evidence and timestamp.",MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/claims,M4 real Android/API acceptance at 8bfe0fb; later changes require exact-head CI
CLAIM-FR-003,The member shall attach approved supporting evidence or family context.,Member,Valid evidence is securely stored and linked to claim.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/claims,M4 real Android/API acceptance at 8bfe0fb; later changes require exact-head CI
CLAIM-FR-004,Submitted claim shall enter a governed review workflow.,System,"Claim receives state, reviewer scope and queue placement.",MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/claims,M4 real Android/API acceptance at 8bfe0fb; later changes require exact-head CI
CLAIM-FR-005,Authorized verifier shall approve a valid claim within assigned scope.,Verifier,Approval links User Account to Person and records decision.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/claims,M4 real Android/API acceptance at 8bfe0fb; later changes require exact-head CI
CLAIM-FR-006,Authorized verifier shall reject a claim with reason.,Verifier,Person remains unlinked; member receives feedback.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/claims,M4 real Android/API acceptance at 8bfe0fb; later changes require exact-head CI
CLAIM-FR-007,Verifier shall request correction/additional evidence.,Verifier,Claim enters correction-requested state and member can resubmit.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/claims,M4 real Android/API acceptance at 8bfe0fb; later changes require exact-head CI
CLAIM-FR-008,Out-of-scope/disputed claim shall be escalatable to Super Admin.,Verifier/Super Admin,Escalation preserves full history and evidence.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/claims,M4 real Android/API acceptance at 8bfe0fb; later changes require exact-head CI
CLAIM-FR-009,The system shall detect conflicting active claims.,System,Conflict is blocked or routed for resolution according to policy.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/claims,M4 real Android/API acceptance at 8bfe0fb; later changes require exact-head CI
CLAIM-FR-010,Member shall see claim status and reviewer feedback.,Member,Current state and available next action are visible.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/claims,M4 real Android/API acceptance at 8bfe0fb; later changes require exact-head CI
CLAIM-FR-011,Claim decisions shall trigger in-app/push notification according to preference.,System,Member receives approved/rejected/correction update.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/claims,M4 real Android/API acceptance at 8bfe0fb; later changes require exact-head CI
CLAIM-FR-012,Every claim transition shall be auditable.,System,"Actor, timestamp, state change, reason and evidence references are recorded.",MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/claims,M4 real Android/API acceptance at 8bfe0fb; later changes require exact-head CI
CHG-FR-001,Member shall request adding a parent.,Member,Request enters review; trusted graph remains unchanged before approval.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/change-requests,M4 real Android/API acceptance at 8bfe0fb; current mutation types require full requirement reconciliation
CHG-FR-002,Member shall request adding a spouse.,Member,Request enters review; trusted graph remains unchanged before approval.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/change-requests,M4 real Android/API acceptance at 8bfe0fb; current mutation types require full requirement reconciliation
CHG-FR-003,Member shall request adding a child.,Member,Request enters review; trusted graph remains unchanged before approval.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/change-requests,M4 real Android/API acceptance at 8bfe0fb; current mutation types require full requirement reconciliation
CHG-FR-004,Member shall request another supported family connection.,Member,Relationship context and proposed Person/link are captured.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/change-requests,M4 real Android/API acceptance at 8bfe0fb; current mutation types require full requirement reconciliation
CHG-FR-005,Member shall request correcting Person information.,Member,Existing and proposed values are captured.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/change-requests,M4 real Android/API acceptance at 8bfe0fb; current mutation types require full requirement reconciliation
CHG-FR-006,Member shall request recording a death.,Member,Death facts/evidence are captured for review.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/change-requests,M4 real Android/API acceptance at 8bfe0fb; current mutation types require full requirement reconciliation
CHG-FR-007,Member shall attach evidence to a genealogy request.,Member,"Files validate, scan and remain private to authorized roles.",MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/change-requests,M4 real Android/API acceptance at 8bfe0fb; current mutation types require full requirement reconciliation
CHG-FR-008,Verifier shall see before/after and graph-impact preview.,Verifier,Review UI shows affected People/links and proposed change.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/change-requests,M4 real Android/API acceptance at 8bfe0fb; current mutation types require full requirement reconciliation
CHG-FR-009,"Verifier shall approve, reject or request correction.",Verifier,State transition validates authority and requires reason where appropriate.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/change-requests,M4 real Android/API acceptance at 8bfe0fb; current mutation types require full requirement reconciliation
CHG-FR-010,Approved genealogy change shall apply atomically.,System,All intended mutations commit together or none commit.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/change-requests,M4 real Android/API acceptance at 8bfe0fb; current mutation types require full requirement reconciliation
CHG-FR-011,Rejected/correction-requested changes shall not mutate trusted genealogy.,System,Official graph remains unchanged.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/change-requests,M4 real Android/API acceptance at 8bfe0fb; current mutation types require full requirement reconciliation
CHG-FR-012,"Sensitive, cross-branch or duplicate-related requests shall route to Super Admin when required.",System/Verifier,Unauthorized verifier cannot decide.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/change-requests,M4 real Android/API acceptance at 8bfe0fb; current mutation types require full requirement reconciliation
CHG-FR-013,Member shall see history and status of own requests.,Member,"Requests list states, dates and reviewer feedback.",MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/change-requests,M4 real Android/API acceptance at 8bfe0fb; current mutation types require full requirement reconciliation
CHG-FR-014,Approved change may notify affected followers according to policy/preferences.,System,"Notification is emitted after commit, never before.",MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/change-requests,M4 real Android/API acceptance at 8bfe0fb; current mutation types require full requirement reconciliation
CHG-FR-015,Every genealogy request and decision shall retain full audit history and evidence references.,System,Authorized admin can reconstruct the workflow.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/change-requests,M4 real Android/API acceptance at 8bfe0fb; current mutation types require full requirement reconciliation
DUP-FR-001,The system shall evaluate duplicate candidates before manual or imported Person creation.,System,Candidate list/score is produced before commit.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy/duplicate; apps/admin/src/app/duplicates,Existing merge workbench needs requirement-by-requirement evidence
DUP-FR-002,"Duplicate scoring shall consider names/aliases, parents, spouse, dates, branch, generation and location where available.",System,Score includes deterministic evidence/signals.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy/duplicate; apps/admin/src/app/duplicates,Existing merge workbench needs requirement-by-requirement evidence
DUP-FR-003,Potential duplicates shall enter an administrative review queue.,Admin,Candidate pair/group is reviewable side by side.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy/duplicate; apps/admin/src/app/duplicates,Existing merge workbench needs requirement-by-requirement evidence
DUP-FR-004,Authorized admin shall mark candidates as not duplicates.,Admin,Candidate closes without Person mutation.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy/duplicate; apps/admin/src/app/duplicates,Existing merge workbench needs requirement-by-requirement evidence
DUP-FR-005,Authorized admin shall merge confirmed duplicates into a canonical Person.,Super Admin/Delegated Admin,Merge transaction commits atomically.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy/duplicate; apps/admin/src/app/duplicates,Existing merge workbench needs requirement-by-requirement evidence
DUP-FR-006,"Merge shall preserve direct relationships, provenance, source references and prior IDs.",System,No approved genealogy fact is silently lost.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy/duplicate; apps/admin/src/app/duplicates,Existing merge workbench needs requirement-by-requirement evidence
DUP-FR-007,Conflicting fields shall require explicit resolution before merge commit.,Admin,Merge cannot commit while required conflicts remain unresolved.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy/duplicate; apps/admin/src/app/duplicates,Existing merge workbench needs requirement-by-requirement evidence
DUP-FR-008,Merged source IDs shall remain administratively traceable to canonical Person.,System,Old ID resolves/redirects in authorized contexts.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy/duplicate; apps/admin/src/app/duplicates,Existing merge workbench needs requirement-by-requirement evidence
DUP-FR-009,Merge action shall be fully audited.,System,"Canonical/merged IDs, actor, decisions and time are recorded.",MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy/duplicate; apps/admin/src/app/duplicates,Existing merge workbench needs requirement-by-requirement evidence
REL-FR-001,The system shall derive indirect relationships from verified direct links only.,System,Unverified links do not participate in official results.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/cultural-rules,Existing rule machinery must be reconciled with all requirements; unapproved cultural gates stay closed
REL-FR-002,"The engine shall calculate parent, child, sibling, grandparent and grandchild relationships.",System,Signed reference cases pass.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/cultural-rules,Existing rule machinery must be reconciled with all requirements; unapproved cultural gates stay closed
REL-FR-003,The engine shall calculate cousin degree/removal from common-ancestor paths where applicable.,System,Results match genealogical-distance rules.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/cultural-rules,Existing rule machinery must be reconciled with all requirements; unapproved cultural gates stay closed
REL-FR-004,The engine shall calculate spouse/affinal relationship paths.,System,Approved affinal paths resolve without being mislabeled as blood relationships.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/cultural-rules,Existing rule machinery must be reconciled with all requirements; unapproved cultural gates stay closed
REL-FR-005,Relationship shall be displayed relative to the logged-in or selected Person.,Member,Profile/tree shows “Your …” only when resolvable.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/cultural-rules,Existing rule machinery must be reconciled with all requirements; unapproved cultural gates stay closed
REL-FR-006,The engine shall support approved Nepali Nata/Saino terminology.,System/Religious Representative,Versioned rule maps verified path to approved term.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/cultural-rules,Existing rule machinery must be reconciled with all requirements; unapproved cultural gates stay closed
REL-FR-007,The engine shall provide English relationship terminology.,System,English label is available for supported paths.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/cultural-rules,Existing rule machinery must be reconciled with all requirements; unapproved cultural gates stay closed
REL-FR-008,The system shall expose a relationship-path explanation where permitted.,Member/Admin,User can see connecting chain without private-field leakage.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/cultural-rules,Existing rule machinery must be reconciled with all requirements; unapproved cultural gates stay closed
REL-FR-009,Multiple valid paths shall produce a deterministic canonical display while retaining alternatives for administrative review.,System,Same graph produces stable result.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/cultural-rules,Existing rule machinery must be reconciled with all requirements; unapproved cultural gates stay closed
REL-FR-010,Interactive relationship search shall enforce maximum traversal depth and resource limits.,System,Query cannot cause unbounded traversal.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/cultural-rules,Existing rule machinery must be reconciled with all requirements; unapproved cultural gates stay closed
REL-FR-011,Relationship caches/results shall invalidate when relevant verified links change.,System,No stale result remains after genealogy mutation.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/cultural-rules,Existing rule machinery must be reconciled with all requirements; unapproved cultural gates stay closed
REL-FR-012,Unsupported path shall not receive invented cultural terminology.,System,Neutral path/unmapped state is displayed.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/cultural-rules,Existing rule machinery must be reconciled with all requirements; unapproved cultural gates stay closed
REL-FR-013,Relationship-rule versions shall require approval and effective-date metadata.,Religious Representative/Admin,Only approved effective version produces authoritative Nata/Saino.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/cultural-rules,Existing rule machinery must be reconciled with all requirements; unapproved cultural gates stay closed
CUL-FR-001,"The application shall provide authoritative sections for Kashyap Rishi, Bindabasini Devi, Adhikari history, Goth Puja, Dewali/Devali, Shraddha and other approved traditions.",Member,Published sections are navigable in both supported languages where translations exist.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/database/repositories/cultural-article.repository.ts,Governed cultural content CMS and publication/translation workflows need completion; authoritative content remains approval-gated
