Requirement ID,Record Type,Source Document,Section / Table Location,Title,Required Behaviour & Acceptance Criteria,Implementation Code Files,Acceptance Test File,Specific Test Name / Procedure,Verification Evidence (Commit: 4bac6fa),Status,Human Approval Gate
Part D,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,Document Map,"SDLC Step 4 — Integration, Testing, UAT and Release Gates","SDLC Step 4 — Integration, Testing, UAT and Release Gates",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Part E,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,Document Map,"SDLC Step 5 — Operations, Security, Backup, Support and Maintenance","SDLC Step 5 — Operations, Security, Backup, Support and Maintenance",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Appendices,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,Document Map,"Permissions, business rules, screens, APIs, errors, data dictionary, traceability and sign-off templates","Permissions, business rules, screens, APIs, errors, data dictionary, traceability and sign-off templates",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Genealogy governance,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,1.5 Success Metrics and Release Quality Targets,"100% of official genealogy mutations originate from authorized admin actions, approved requests or controlled imports with audit evidence.","100% of official genealogy mutations originate from authorized admin actions, approved requests or controlled imports with audit evidence.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Audit coverage,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,1.5 Success Metrics and Release Quality Targets,"100% of material administrative, merge, verification, moderation and rule-publication actions are auditable.","100% of material administrative, merge, verification, moderation and rule-publication actions are auditable.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Duplicate prevention,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,1.5 Success Metrics and Release Quality Targets,100% of Person creation/import paths execute duplicate-candidate evaluation.,100% of Person creation/import paths execute duplicate-candidate evaluation.,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Relationship correctness,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,1.5 Success Metrics and Release Quality Targets,100% pass rate on the signed domain relationship-rule test suite; no known critical kinship-rule defects at launch.,100% pass rate on the signed domain relationship-rule test suite; no known critical kinship-rule defects at launch.,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Jutho/Tithi correctness,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,1.5 Success Metrics and Release Quality Targets,100% pass rate against signed religious/domain reference cases.,100% pass rate against signed religious/domain reference cases.,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Availability,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,1.5 Success Metrics and Release Quality Targets,99.9% monthly service availability target excluding announced maintenance.,99.9% monthly service availability target excluding announced maintenance.,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Search performance,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,1.5 Success Metrics and Release Quality Targets,p95 ≤ 1 second for normal search requests at baseline load.,p95 ≤ 1 second for normal search requests at baseline load.,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Core API performance,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,1.5 Success Metrics and Release Quality Targets,"p95 ≤ 500 ms reads and ≤ 800 ms standard writes, excluding third-party latency.","p95 ≤ 500 ms reads and ≤ 800 ms standard writes, excluding third-party latency.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Mobile quality,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,1.5 Success Metrics and Release Quality Targets,≥99.5% crash-free sessions target.,≥99.5% crash-free sessions target.,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Security,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,1.5 Success Metrics and Release Quality Targets,Zero known Critical/High exploitable vulnerabilities at release.,Zero known Critical/High exploitable vulnerabilities at release.,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Backup,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,1.5 Success Metrics and Release Quality Targets,Automated backup success ≥99.9%; quarterly restore test passes.,Automated backup success ≥99.9%; quarterly restore test passes.,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Localization,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,1.5 Success Metrics and Release Quality Targets,100% user-visible system strings available in Nepali and English.,100% user-visible system strings available in Nepali and English.,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Accessibility,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,1.5 Success Metrics and Release Quality Targets,"Critical member and admin workflows support screen readers, scalable text and keyboard navigation where applicable.","Critical member and admin workflows support screen readers, scalable text and keyboard navigation where applicable.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Member,GOVERNANCE_CONTROL,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,"2. Users, Personas and Governance","Register, claim a Person profile, view permitted genealogy, submit changes, follow relatives/branches, use culture, events, invitations, community, map and chat.",Cannot directly alter the trusted genealogy. Privacy and moderation rules apply.,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Family/Branch Verifier,GOVERNANCE_CONTROL,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,"2. Users, Personas and Governance",Review claims and genealogy requests within assigned family/branch scope.,"Can approve, reject, request correction and escalate. Cannot decide outside assigned authority.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Content/Community Moderator,GOVERNANCE_CONTROL,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,"2. Users, Personas and Governance","Manage community content, reports and assigned cultural content.",Can hide/remove/reinstate content and take authorized moderation action; all material actions audited.,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Super Admin,GOVERNANCE_CONTROL,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,"2. Users, Personas and Governance",Highest operational authority.,"Manages users/roles, branches, cross-branch links, disputes, duplicates, sensitive corrections, rules, settings and audit oversight.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Community/Religious Representative,GOVERNANCE_CONTROL,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,"2. Users, Personas and Governance",Authoritative cultural/domain approver.,"Signs off Nata/Saino, Jutho, Tithi/Shraddha, rituals and authoritative cultural/historical content.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Content Editor,GOVERNANCE_CONTROL,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,"2. Users, Personas and Governance",Draft and maintain server-managed cultural/history content.,Cannot publish authoritative content unless approval workflow permits.,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Support/Operations,GOVERNANCE_CONTROL,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,"2. Users, Personas and Governance",Handle technical support and operational incidents.,No business-data override unless separately authorized; privileged support access is audited.,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Identity & Authentication,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,4. Release 1.0 — Complete Mandatory Scope,"Mobile registration, OTP, secure session/device management, logout, account restriction handling.","Mobile registration, OTP, secure session/device management, logout, account restriction handling.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Profiles & Privacy,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,4. Release 1.0 — Complete Mandatory Scope,"Profile photo, basic/detailed information, visibility controls, consent/preferences, account/person separation.","Profile photo, basic/detailed information, visibility controls, consent/preferences, account/person separation.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Genealogy & Family Tree,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,4. Release 1.0 — Complete Mandatory Scope,"Initial import, Person records, branches, generations, parents, spouses, children, siblings, ancestors, descendants, deceased/historical members.","Initial import, Person records, branches, generations, parents, spouses, children, siblings, ancestors, descendants, deceased/historical members.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Profile Claiming,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,4. Release 1.0 — Complete Mandatory Scope,"Search, claim existing Person, evidence, verifier review, correction, approval/rejection and account-person linking.","Search, claim existing Person, evidence, verifier review, correction, approval/rejection and account-person linking.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Genealogy Change Management,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,4. Release 1.0 — Complete Mandatory Scope,"Add/correct relatives, correct Person information, record death, cross-branch links, approval workflow and history.","Add/correct relatives, correct Person information, record death, cross-branch links, approval workflow and history.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Duplicate Detection & Merge,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,4. Release 1.0 — Complete Mandatory Scope,"Candidate scoring, review queue, merge preview, canonical Person selection, conflict resolution and preserved history.","Candidate scoring, review queue, merge preview, canonical Person selection, conflict resolution and preserved history.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Relationship & Nata/Saino Engine,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,4. Release 1.0 — Complete Mandatory Scope,"Graph traversal, English relationship labels, approved Nepali Nata/Saino terms and relationship-path explanation.","Graph traversal, English relationship labels, approved Nepali Nata/Saino terms and relationship-path explanation.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Cultural & Historical Hub,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,4. Release 1.0 — Complete Mandatory Scope,"Kashyap Rishi, Bindabasini Devi, Adhikari history, Goth Puja, Dewali/Devali, Shraddha and other approved traditions.","Kashyap Rishi, Bindabasini Devi, Adhikari history, Goth Puja, Dewali/Devali, Shraddha and other approved traditions.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Calendar & Tithi,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,4. Release 1.0 — Complete Mandatory Scope,"Bikram Sambat, Gregorian and approved Tithi support; birthdays, death/Shraddha, 84 Puja, marriage, Bratabandha, puja and gatherings.","Bikram Sambat, Gregorian and approved Tithi support; birthdays, death/Shraddha, 84 Puja, marriage, Bratabandha, puja and gatherings.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Jutho Engine,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,4. Release 1.0 — Complete Mandatory Scope,"Relationship-aware Jutho result, approved duration/color rule sets, exceptions, rule version and explanation.","Relationship-aware Jutho result, approved duration/color rule sets, exceptions, rule version and explanation.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Follow & Notifications,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,4. Release 1.0 — Complete Mandatory Scope,Follow people/family/branch/generation; genealogy/event/community/invitation/message notifications and preferences.,Follow people/family/branch/generation; genealogy/event/community/invitation/message notifications and preferences.,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Digital Invitations,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,4. Release 1.0 — Complete Mandatory Scope,"Templates/cards, genealogy-based recipients, advanced relationship selection, date/time, venue/map, notifications and RSVP.","Templates/cards, genealogy-based recipients, advanced relationship selection, date/time, venue/map, notifications and RSVP.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Community,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,4. Release 1.0 — Complete Mandatory Scope,"Posts, announcements, missing-person, property/room availability, assistance requests, programs, media, location, reporting, blocking and moderation.","Posts, announcements, missing-person, property/room availability, assistance requests, programs, media, location, reporting, blocking and moderation.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Family / Household Map,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,4. Release 1.0 — Complete Mandatory Scope,Privacy-aware map of consenting households or community locations; coarse location by default and precise location only with permission.,Privacy-aware map of consenting households or community locations; coarse location by default and precise location only with permission.,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Private Communication,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,4. Release 1.0 — Complete Mandatory Scope,"One-to-one and group chat, message notifications, images/files, read status, blocking, reporting and moderation support.","One-to-one and group chat, message notifications, images/files, read status, blocking, reporting and moderation support.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Administration Portal,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,4. Release 1.0 — Complete Mandatory Scope,"Claims, genealogy changes/editing, duplicates, users, roles, branches, content, events, invitations, moderation, rules, imports and audit.","Claims, genealogy changes/editing, duplicates, users, roles, branches, content, events, invitations, moderation, rules, imports and audit.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Search,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,4. Release 1.0 — Complete Mandatory Scope,"People, branches, generations, locations, cultural content, events and community content with Nepali/English normalization.","People, branches, generations, locations, cultural content, events and community content with Nepali/English normalization.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Localization & Accessibility,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,4. Release 1.0 — Complete Mandatory Scope,"Full Nepali/English localization, BS/AD/Tithi display, accessible typography/components and responsive admin UX.","Full Nepali/English localization, BS/AD/Tithi display, accessible typography/components and responsive admin UX.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
"Security, Audit & Operations",REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,4. Release 1.0 — Complete Mandatory Scope,"RBAC/branch scope, encryption, audit, rate limits, secure media, backups, monitoring, incident response, support and maintenance.","RBAC/branch scope, encryption, audit, rate limits, secure media, backups, monitoring, incident response, support and maintenance.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
A-001,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,6. Product Assumptions and Hard Dependencies,Initial genealogy source data will be supplied in one or more importable formats; controlled staging/import is mandatory.,Initial genealogy source data will be supplied in one or more importable formats; controlled staging/import is mandatory.,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
A-002,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,6. Product Assumptions and Hard Dependencies,Authoritative genealogy reviewers can be assigned to defined branches/families.,Authoritative genealogy reviewers can be assigned to defined branches/families.,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
A-003,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,6. Product Assumptions and Hard Dependencies,A Person may exist without a User Account; a User Account controls no Person until an approved link exists.,A Person may exist without a User Account; a User Account controls no Person until an approved link exists.,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
A-004,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,6. Product Assumptions and Hard Dependencies,"Historical records may contain incomplete dates, spelling variants, aliases and uncertainty; the model must preserve uncertainty rather than fabricate values.","Historical records may contain incomplete dates, spelling variants, aliases and uncertainty; the model must preserve uncertainty rather than fabricate values.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
A-005,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,6. Product Assumptions and Hard Dependencies,"Approved community/religious representatives will provide and sign off Nata/Saino, Jutho, Tithi, Shraddha and ritual rule sets.","Approved community/religious representatives will provide and sign off Nata/Saino, Jutho, Tithi, Shraddha and ritual rule sets.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
A-006,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,6. Product Assumptions and Hard Dependencies,Nepali and English are mandatory from Release 1.0.,Nepali and English are mandatory from Release 1.0.,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
A-007,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,6. Product Assumptions and Hard Dependencies,"Mobile connectivity may be intermittent; caching, retry and duplicate-submission protection are required.","Mobile connectivity may be intermittent; caching, retry and duplicate-submission protection are required.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
A-008,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,6. Product Assumptions and Hard Dependencies,"OTP, push, maps and calendar/Tithi integrations can fail; provider adapters, timeouts, retries and monitoring are mandatory.","OTP, push, maps and calendar/Tithi integrations can fail; provider adapters, timeouts, retries and monitoring are mandatory.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
A-009,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,6. Product Assumptions and Hard Dependencies,Personal and family data is privacy-sensitive; least privilege and privacy-by-default are mandatory.,Personal and family data is privacy-sensitive; least privilege and privacy-by-default are mandatory.,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
A-010,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,6. Product Assumptions and Hard Dependencies,"Production launch occurs only after legal/privacy review, domain rule sign-off, migration rehearsal and UAT acceptance.","Production launch occurs only after legal/privacy review, domain rule sign-off, migration rehearsal and UAT acceptance.",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
BR-GEN-001,BUSINESS_RULE,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,7. Core Business Rules Catalogue,Every genealogy Person has an immutable unique Person ID.,All Person records,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
BR-GEN-002,BUSINESS_RULE,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,7. Core Business Rules Catalogue,Person and User Account are separate entities.,Registration/claim,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
BR-GEN-003,BUSINESS_RULE,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,7. Core Business Rules Catalogue,Members cannot directly mutate trusted genealogy.,Member edits,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
BR-GEN-004,BUSINESS_RULE,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,7. Core Business Rules Catalogue,Trusted direct facts are parent-child and spouse/approved union links; indirect relationships are derived.,Relationship engine,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
BR-GEN-005,BUSINESS_RULE,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,7. Core Business Rules Catalogue,Duplicate evaluation is mandatory before Person creation/import.,All creation paths,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
BR-GEN-006,BUSINESS_RULE,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,7. Core Business Rules Catalogue,"Merge preserves provenance, links, prior identifiers and history.",Duplicate merge,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
BR-CLAIM-001,BUSINESS_RULE,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,7. Core Business Rules Catalogue,A claim does not link a User Account to a Person until approved.,Profile claim,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
BR-VER-001,BUSINESS_RULE,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,7. Core Business Rules Catalogue,Verifier authority is limited to assigned branch/scope.,Review actions,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
BR-AUD-001,BUSINESS_RULE,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,7. Core Business Rules Catalogue,Material actions are append-only audited.,Admin/genealogy/moderation/rules,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
BR-REL-001,BUSINESS_RULE,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,7. Core Business Rules Catalogue,Displayed relationship is relative to the viewing/selected Person.,Profile/tree,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
BR-REL-002,BUSINESS_RULE,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,7. Core Business Rules Catalogue,Nepali Nata/Saino comes only from an approved versioned rule catalogue.,Relationship labels,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
BR-JUT-001,BUSINESS_RULE,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,7. Core Business Rules Catalogue,Jutho calculation uses an approved rule-set version and verified relationship path.,Death/Jutho,services/api/src/modules/cultural-rules/cultural-rules.service.ts,services/api/test/cultural-rules.service.spec.ts,Pending official cultural authority sign-off,Implemented with neutral fallback; calculations disabled pending human approval,HUMAN_GATED,"HG-002 (Cultural), HG-003 (Jutho), HG-004 (Tithi)"
BR-CAL-001,BUSINESS_RULE,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,7. Core Business Rules Catalogue,Original date semantics are preserved.,Birth/event/death dates,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
BR-CONT-001,BUSINESS_RULE,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,7. Core Business Rules Catalogue,Authoritative cultural/religious content requires designated approval before publication.,Culture hub,services/api/src/modules/cultural-rules/cultural-rules.service.ts,services/api/test/cultural-rules.service.spec.ts,Pending official cultural authority sign-off,Implemented with neutral fallback; calculations disabled pending human approval,HUMAN_GATED,"HG-002 (Cultural), HG-003 (Jutho), HG-004 (Tithi)"
BR-COM-001,BUSINESS_RULE,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,7. Core Business Rules Catalogue,"Community content is reportable, moderateable, removable and auditable.",Community,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
BR-CHAT-001,BUSINESS_RULE,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,7. Core Business Rules Catalogue,Blocking prevents new direct communication from blocked users.,Messaging,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
