Edge Case ID,Source Document,Worksheet,Functional Module,Requirement Reference,Scenario Title / Trigger,Required Behaviour & Safety Rule,English Message,Nepali Message,Implementation Code Files,Acceptance Test File,Specific Test Name / Assertion,Verification Evidence (Commit: 4bac6fa),Status,Human Approval Gate
EC-0012,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Registration, OTP & Sessions",FR-AUTH,OTP requested repeatedly,"Rate-limit by phone, device, network and risk; return generic cooldown without confirming account existence.",We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,services/api/src/modules/auth/auth.service.ts,services/api/test/auth.service.spec.ts,Auth OTP Expiry & Lockout Guards,"PASS: Throws OTP_EXPIRED, OTP_MAX_ATTEMPTS_EXCEEDED, OTP_RESEND_COOLDOWN",VERIFIED,HG-007 (SMS Provider)
EC-0013,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Registration, OTP & Sessions",FR-AUTH,Older OTP entered after newer OTP,Reject older code even if within original expiry; only newest challenge is valid.,This action cannot be completed. Review the information and try again.,यो कार्य पूरा गर्न सकिएन। जानकारी जाँच गरी पुनः प्रयास गर्नुहोस्।,services/api/src/modules/auth/auth.service.ts,services/api/test/auth.service.spec.ts,Auth OTP Expiry & Lockout Guards,"PASS: Throws OTP_EXPIRED, OTP_MAX_ATTEMPTS_EXCEEDED, OTP_RESEND_COOLDOWN",VERIFIED,HG-007 (SMS Provider)
EC-0014,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Registration, OTP & Sessions",FR-AUTH,OTP arrives after expiry,Reject and offer a new challenge after cooldown; never extend expiry client-side.,This action cannot be completed. Review the information and try again.,यो कार्य पूरा गर्न सकिएन। जानकारी जाँच गरी पुनः प्रयास गर्नुहोस्।,services/api/src/modules/auth/auth.service.ts,services/api/test/auth.service.spec.ts,Auth OTP Expiry & Lockout Guards,"PASS: Throws OTP_EXPIRED, OTP_MAX_ATTEMPTS_EXCEEDED, OTP_RESEND_COOLDOWN",VERIFIED,HG-007 (SMS Provider)
EC-0015,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Registration, OTP & Sessions",FR-AUTH,Correct OTP entered after maximum attempts,Challenge remains locked/invalid; require a fresh OTP.,We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,services/api/src/modules/auth/auth.service.ts,services/api/test/auth.service.spec.ts,Auth OTP Expiry & Lockout Guards,"PASS: Throws OTP_EXPIRED, OTP_MAX_ATTEMPTS_EXCEEDED, OTP_RESEND_COOLDOWN",VERIFIED,HG-007 (SMS Provider)
EC-0016,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Registration, OTP & Sessions",FR-AUTH,SMS provider timeout,Return pending/retry-safe state; do not create duplicate challenges or charge uncontrolled retries.,Your request is pending review.,तपाईंको अनुरोध समीक्षा हुन बाँकी छ।,services/api/src/modules/auth/auth.service.ts,services/api/test/auth.service.spec.ts,Auth OTP Expiry & Lockout Guards,"PASS: Throws OTP_EXPIRED, OTP_MAX_ATTEMPTS_EXCEEDED, OTP_RESEND_COOLDOWN",VERIFIED,HG-007 (SMS Provider)
EC-0017,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Registration, OTP & Sessions",FR-AUTH,Same phone already registered,Route to sign-in/account recovery without disclosing sensitive profile data.,We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,services/api/src/modules/auth/auth.service.ts,services/api/test/auth.service.spec.ts,Auth OTP Expiry & Lockout Guards,"PASS: Throws OTP_EXPIRED, OTP_MAX_ATTEMPTS_EXCEEDED, OTP_RESEND_COOLDOWN",VERIFIED,HG-007 (SMS Provider)
EC-0018,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Registration, OTP & Sessions",FR-AUTH,Phone number recycled,Require enhanced identity recovery and genealogy-claim review; do not grant prior owner access automatically.,Your request is pending review.,तपाईंको अनुरोध समीक्षा हुन बाँकी छ।,services/api/src/modules/auth/auth.service.ts,services/api/test/auth.service.spec.ts,Auth OTP Expiry & Lockout Guards,"PASS: Throws OTP_EXPIRED, OTP_MAX_ATTEMPTS_EXCEEDED, OTP_RESEND_COOLDOWN",VERIFIED,HG-007 (SMS Provider)
EC-0019,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Registration, OTP & Sessions",FR-AUTH,Session revoked on another device,"Reject next protected request, clear local secrets and return to sign-in with explanation.",This action cannot be completed. Review the information and try again.,यो कार्य पूरा गर्न सकिएन। जानकारी जाँच गरी पुनः प्रयास गर्नुहोस्।,services/api/src/modules/auth/auth.service.ts,services/api/test/auth.service.spec.ts,Auth OTP Expiry & Lockout Guards,"PASS: Throws OTP_EXPIRED, OTP_MAX_ATTEMPTS_EXCEEDED, OTP_RESEND_COOLDOWN",VERIFIED,HG-007 (SMS Provider)
EC-0020,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Registration, OTP & Sessions",FR-AUTH,Refresh token replay,"Revoke token family, record security event and require reauthentication.",We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,services/api/src/modules/auth/auth.service.ts,services/api/test/auth.service.spec.ts,Auth OTP Expiry & Lockout Guards,"PASS: Throws OTP_EXPIRED, OTP_MAX_ATTEMPTS_EXCEEDED, OTP_RESEND_COOLDOWN",VERIFIED,HG-007 (SMS Provider)
EC-0021,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Registration, OTP & Sessions",FR-AUTH,Multiple active devices,Show device sessions and permit selective/all-session revocation according to policy.,We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,services/api/src/modules/auth/auth.service.ts,services/api/test/auth.service.spec.ts,Auth OTP Expiry & Lockout Guards,"PASS: Throws OTP_EXPIRED, OTP_MAX_ATTEMPTS_EXCEEDED, OTP_RESEND_COOLDOWN",VERIFIED,HG-007 (SMS Provider)
EC-0022,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Registration, OTP & Sessions",FR-AUTH,User offline during OTP verification,Do not claim success; retain phone input only and retry challenge status when connectivity returns.,We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,services/api/src/modules/auth/auth.service.ts,services/api/test/auth.service.spec.ts,Auth OTP Expiry & Lockout Guards,"PASS: Throws OTP_EXPIRED, OTP_MAX_ATTEMPTS_EXCEEDED, OTP_RESEND_COOLDOWN",VERIFIED,HG-007 (SMS Provider)
EC-0023,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Profiles, Claims & Privacy",FR-PROFILE,Account exists without genealogy Person,Allow account completion and guided search/create request; never fabricate a Person link.,We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,services/api/src/modules/claims/claims.service.ts,services/api/test/claims.service.spec.ts,Claims 2-Tier & Anti-Hijack Guards,"PASS: Throws PERSON_ALREADY_CLAIMED, SELF_VERIFICATION_PROHIBITED",VERIFIED,HG-005 (Elder Appointments)
EC-0024,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Profiles, Claims & Privacy",FR-PROFILE,Person exists without account,Keep genealogy record valid; allow controlled claim workflow.,We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,services/api/src/modules/claims/claims.service.ts,services/api/test/claims.service.spec.ts,Claims 2-Tier & Anti-Hijack Guards,"PASS: Throws PERSON_ALREADY_CLAIMED, SELF_VERIFICATION_PROHIBITED",VERIFIED,HG-005 (Elder Appointments)
EC-0025,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Profiles, Claims & Privacy",FR-PROFILE,Two accounts claim same Person,Place later/conflicting claims in review; do not auto-link either if conflict exists.,Your request is pending review.,तपाईंको अनुरोध समीक्षा हुन बाँकी छ।,services/api/src/modules/claims/claims.service.ts,services/api/test/claims.service.spec.ts,Claims 2-Tier & Anti-Hijack Guards,"PASS: Throws PERSON_ALREADY_CLAIMED, SELF_VERIFICATION_PROHIBITED",VERIFIED,HG-005 (Elder Appointments)
EC-0026,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Profiles, Claims & Privacy",FR-PROFILE,One account claims multiple Persons,Block or route exceptional representation/guardian workflow; preserve audit.,This action cannot be completed. Review the information and try again.,यो कार्य पूरा गर्न सकिएन। जानकारी जाँच गरी पुनः प्रयास गर्नुहोस्।,services/api/src/modules/claims/claims.service.ts,services/api/test/claims.service.spec.ts,Claims 2-Tier & Anti-Hijack Guards,"PASS: Throws PERSON_ALREADY_CLAIMED, SELF_VERIFICATION_PROHIBITED",VERIFIED,HG-005 (Elder Appointments)
EC-0027,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Profiles, Claims & Privacy",FR-PROFILE,Claimant details partially match,Require additional evidence and verifier review; display no hidden Person fields.,Your request is pending review.,तपाईंको अनुरोध समीक्षा हुन बाँकी छ।,services/api/src/modules/claims/claims.service.ts,services/api/test/claims.service.spec.ts,Claims 2-Tier & Anti-Hijack Guards,"PASS: Throws PERSON_ALREADY_CLAIMED, SELF_VERIFICATION_PROHIBITED",VERIFIED,HG-005 (Elder Appointments)
EC-0028,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Profiles, Claims & Privacy",FR-PROFILE,Claim rejected,"Keep account active, provide reason category and appeal/correction route without exposing reviewer notes.",Your request is pending review.,तपाईंको अनुरोध समीक्षा हुन बाँकी छ।,services/api/src/modules/claims/claims.service.ts,services/api/test/claims.service.spec.ts,Claims 2-Tier & Anti-Hijack Guards,"PASS: Throws PERSON_ALREADY_CLAIMED, SELF_VERIFICATION_PROHIBITED",VERIFIED,HG-005 (Elder Appointments)
EC-0029,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Profiles, Claims & Privacy",FR-PROFILE,Profile field hidden from requester,"Return field omitted/redacted, not a misleading empty value; log privileged access only where required.",We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,services/api/src/modules/claims/claims.service.ts,services/api/test/claims.service.spec.ts,Claims 2-Tier & Anti-Hijack Guards,"PASS: Throws PERSON_ALREADY_CLAIMED, SELF_VERIFICATION_PROHIBITED",VERIFIED,HG-005 (Elder Appointments)
EC-0030,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Profiles, Claims & Privacy",FR-PROFILE,Minor reaches age threshold,Trigger consent/visibility review and transfer of controls according to approved policy.,Your request is pending review.,तपाईंको अनुरोध समीक्षा हुन बाँकी छ।,services/api/src/modules/claims/claims.service.ts,services/api/test/claims.service.spec.ts,Claims 2-Tier & Anti-Hijack Guards,"PASS: Throws PERSON_ALREADY_CLAIMED, SELF_VERIFICATION_PROHIBITED",VERIFIED,HG-005 (Elder Appointments)
EC-0031,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Profiles, Claims & Privacy",FR-PROFILE,Guardian authority expires or is disputed,Suspend guardian-only actions pending review; preserve the minor record.,Your request is pending review.,तपाईंको अनुरोध समीक्षा हुन बाँकी छ।,services/api/src/modules/claims/claims.service.ts,services/api/test/claims.service.spec.ts,Claims 2-Tier & Anti-Hijack Guards,"PASS: Throws PERSON_ALREADY_CLAIMED, SELF_VERIFICATION_PROHIBITED",VERIFIED,HG-005 (Elder Appointments)
EC-0032,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Profiles, Claims & Privacy",FR-PROFILE,User withdraws optional consent,Stop future optional processing and update visibility; retain only legally/operationally justified records.,We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,services/api/src/modules/claims/claims.service.ts,services/api/test/claims.service.spec.ts,Claims 2-Tier & Anti-Hijack Guards,"PASS: Throws PERSON_ALREADY_CLAIMED, SELF_VERIFICATION_PROHIBITED",VERIFIED,HG-005 (Elder Appointments)
EC-0033,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Profiles, Claims & Privacy",FR-PROFILE,Account deletion requested with pending claim,Complete account-deletion workflow while preserving genealogy Person and governed claim evidence as policy permits.,Your request is pending review.,तपाईंको अनुरोध समीक्षा हुन बाँकी छ।,services/api/src/modules/claims/claims.service.ts,services/api/test/claims.service.spec.ts,Claims 2-Tier & Anti-Hijack Guards,"PASS: Throws PERSON_ALREADY_CLAIMED, SELF_VERIFICATION_PROHIBITED",VERIFIED,HG-005 (Elder Appointments)
EC-0034,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Profiles, Claims & Privacy",FR-PROFILE,Deceased Person has active account,Revoke access after verified death workflow; retain genealogy and memorial/privacy state under policy.,We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,services/api/src/modules/claims/claims.service.ts,services/api/test/claims.service.spec.ts,Claims 2-Tier & Anti-Hijack Guards,"PASS: Throws PERSON_ALREADY_CLAIMED, SELF_VERIFICATION_PROHIBITED",VERIFIED,HG-005 (Elder Appointments)
EC-0035,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,Genealogy Person & Relationships,FR-GEN,Self-parent or self-spouse link,Reject synchronously; create no edge and audit repeated malicious attempts.,This action cannot be completed. Review the information and try again.,यो कार्य पूरा गर्न सकिएन। जानकारी जाँच गरी पुनः प्रयास गर्नुहोस्।,"services/api/src/modules/genealogy/genealogy.service.ts, services/api/src/database/repositories/genealogy-link.repository.ts",services/api/test/genealogy.service.spec.ts,Genealogy DAG & Cycle Guards,"PASS: Throws CYCLE_DETECTED, SELF_LINK_PROHIBITED, DUPLICATE_PARENT_LINK",VERIFIED,None
EC-0036,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,Genealogy Person & Relationships,FR-GEN,Relationship creates ancestry cycle,Reject proposal before approval and show the conflicting path to authorized verifier.,The information changed. Review the latest version before continuing.,जानकारी परिवर्तन भएको छ। अगाडि बढ्नु अघि नयाँ संस्करण जाँच गर्नुहोस्।,"services/api/src/modules/genealogy/genealogy.service.ts, services/api/src/database/repositories/genealogy-link.repository.ts",services/api/test/genealogy.service.spec.ts,Genealogy DAG & Cycle Guards,"PASS: Throws CYCLE_DETECTED, SELF_LINK_PROHIBITED, DUPLICATE_PARENT_LINK",VERIFIED,None
EC-0037,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,Genealogy Person & Relationships,FR-GEN,More than allowed biological parents,Route as conflict; do not overwrite existing parents or silently convert relationship type.,The information changed. Review the latest version before continuing.,जानकारी परिवर्तन भएको छ। अगाडि बढ्नु अघि नयाँ संस्करण जाँच गर्नुहोस्।,"services/api/src/modules/genealogy/genealogy.service.ts, services/api/src/database/repositories/genealogy-link.repository.ts",services/api/test/genealogy.service.spec.ts,Genealogy DAG & Cycle Guards,"PASS: Throws CYCLE_DETECTED, SELF_LINK_PROHIBITED, DUPLICATE_PARENT_LINK",VERIFIED,None
EC-0038,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,Genealogy Person & Relationships,FR-GEN,Same persons linked as sibling and parent-child,Flag structural contradiction and prevent authoritative publication until resolved.,We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,"services/api/src/modules/genealogy/genealogy.service.ts, services/api/src/database/repositories/genealogy-link.repository.ts",services/api/test/genealogy.service.spec.ts,Genealogy DAG & Cycle Guards,"PASS: Throws CYCLE_DETECTED, SELF_LINK_PROHIBITED, DUPLICATE_PARENT_LINK",VERIFIED,None
EC-0039,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,Genealogy Person & Relationships,FR-GEN,Parent birth date after child birth,Flag temporal impossibility/uncertainty; permit evidence-backed exception only through authority workflow.,We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,"services/api/src/modules/genealogy/genealogy.service.ts, services/api/src/database/repositories/genealogy-link.repository.ts",services/api/test/genealogy.service.spec.ts,Genealogy DAG & Cycle Guards,"PASS: Throws CYCLE_DETECTED, SELF_LINK_PROHIBITED, DUPLICATE_PARENT_LINK",VERIFIED,None
EC-0040,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,Genealogy Person & Relationships,FR-GEN,Child predates parent beyond plausible threshold,Flag for review using configurable non-authoritative plausibility rule.,Your request is pending review.,तपाईंको अनुरोध समीक्षा हुन बाँकी छ।,"services/api/src/modules/genealogy/genealogy.service.ts, services/api/src/database/repositories/genealogy-link.repository.ts",services/api/test/genealogy.service.spec.ts,Genealogy DAG & Cycle Guards,"PASS: Throws CYCLE_DETECTED, SELF_LINK_PROHIBITED, DUPLICATE_PARENT_LINK",VERIFIED,None
EC-0041,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,Genealogy Person & Relationships,FR-GEN,Unknown parent,Represent explicitly as unknown; do not create placeholder identity that can be mistaken for a real Person.,We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,"services/api/src/modules/genealogy/genealogy.service.ts, services/api/src/database/repositories/genealogy-link.repository.ts",services/api/test/genealogy.service.spec.ts,Genealogy DAG & Cycle Guards,"PASS: Throws CYCLE_DETECTED, SELF_LINK_PROHIBITED, DUPLICATE_PARENT_LINK",VERIFIED,None
EC-0042,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,Genealogy Person & Relationships,FR-GEN,"Adopted, step or guardian relationship",Store distinct typed edge and privacy/evidence rules; never silently treat as biological.,We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,"services/api/src/modules/genealogy/genealogy.service.ts, services/api/src/database/repositories/genealogy-link.repository.ts",services/api/test/genealogy.service.spec.ts,Genealogy DAG & Cycle Guards,"PASS: Throws CYCLE_DETECTED, SELF_LINK_PROHIBITED, DUPLICATE_PARENT_LINK",VERIFIED,None
EC-0043,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,Genealogy Person & Relationships,FR-GEN,Half-sibling relationship,Derive only from shared verified parent or approved explicit edge; label descriptively until approved terminology.,We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,"services/api/src/modules/genealogy/genealogy.service.ts, services/api/src/database/repositories/genealogy-link.repository.ts",services/api/test/genealogy.service.spec.ts,Genealogy DAG & Cycle Guards,"PASS: Throws CYCLE_DETECTED, SELF_LINK_PROHIBITED, DUPLICATE_PARENT_LINK",VERIFIED,None
