Nata/Saino Candidate Rule Catalogue																										
AI-assisted desk validation v0.2 completed; cultural authority approval remains mandatory.																										
Rule ID	Category	Generation Offset	Side/Line	Path Code	Relationship from Ego	Person Gender	Relative Age	Primary Nepali Term	Romanization	English Label	Reciprocal Term	Relationship Type	Applicability / UI Rule	Variant Terms	Research Source ID	Evidence Status	Validation Status	Cultural Reviewer	Final Approver	Rule Version	Effective Date	Validation Notes	Desk Review Outcome	Confidence	Automation Disposition	Required Human Validation
NS-011	Child	-1	Descendant	E-D	Daughter	Female	N/A	छोरी	chorī	Daughter	बुबा/आमा	Biological	All	पुत्री	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-012	Grandparent	+2	Paternal	E-F-F	Father's father	Male	N/A	हजुरबुबा	hajurbubā	Paternal grandfather	नाति/नातिनी	Biological	Standard neutral	बाजे; पितामह	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-013	Grandparent	+2	Paternal	E-F-M	Father's mother	Female	N/A	हजुरआमा	hajurāmā	Paternal grandmother	नाति/नातिनी	Biological	Standard neutral	बज्यै; पितामही	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-014	Grandparent	+2	Maternal	E-M-F	Mother's father	Male	N/A	हजुरबुबा	hajurbubā	Maternal grandfather	नाति/नातिनी	Biological	Standard neutral	मावली बाजे; मातामह	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-015	Grandparent	+2	Maternal	E-M-M	Mother's mother	Female	N/A	हजुरआमा	hajurāmā	Maternal grandmother	नाति/नातिनी	Biological	Standard neutral	मावली बज्यै; मातामही	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-016	Grandchild	-2	Descendant	E-S-S / E-D-S	Child's son	Male	N/A	नाति	nāti	Grandson	हजुरबुबा/हजुरआमा	Biological	All	—	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-017	Grandchild	-2	Descendant	E-S-D / E-D-D	Child's daughter	Female	N/A	नातिनी	nātinī	Granddaughter	हजुरबुबा/हजुरआमा	Biological	All	—	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-018	Great-grandchild	-3	Descendant	E-*-*-S	Grandchild's son	Male	N/A	पनाति	panāti	Great-grandson	बराजु/बराज्यै	Biological	Requires validation	पलाती (reported variant)	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Culturally/legal sensitive — retain explicit descriptive label	Low	Do not automate as an equivalence; require verified edge/status	Relevant cultural authority; legal/privacy review where status is sensitive
NS-019	Great-grandchild	-3	Descendant	E-*-*-D	Grandchild's daughter	Female	N/A	पनातिनी	panātinī	Great-granddaughter	बराजु/बराज्यै	Biological	Requires validation	पलातिनी (reported variant)	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Culturally/legal sensitive — retain explicit descriptive label	Low	Do not automate as an equivalence; require verified edge/status	Relevant cultural authority; legal/privacy review where status is sensitive
NS-020	Paternal uncle	+1	Paternal	E-F-B(y)	Father's younger brother	Male	Younger than father	काका	kākā	Paternal younger uncle	भतिजा/भतिजी	Biological	Common standard	कान्छाबुबा; सानाबुबा	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-021	Paternal aunt-in-law	+1	Paternal	E-F-B(y)-W	Father's younger brother's wife	Female	N/A	काकी	kākī	Wife of paternal younger uncle	भतिजा/भतिजी	Marriage	Common standard	सानीआमा	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-022	Paternal uncle	+1	Paternal	E-F-B(o)	Father's older brother	Male	Older than father	ठूलोबुबा	ṭhūlobubā	Paternal elder uncle	भतिजा/भतिजी	Biological	Requires validation	ठुलाबा; बडाबुबा	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-023	Paternal aunt-in-law	+1	Paternal	E-F-B(o)-W	Father's older brother's wife	Female	N/A	ठूलीआमा	ṭhūlīāmā	Wife of paternal elder uncle	भतिजा/भतिजी	Marriage	Requires validation	बडीआमा	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-024	Paternal aunt	+1	Paternal	E-F-Z	Father's sister	Female	N/A	फुपू	phupū	Paternal aunt	भतिजा/भतिजी	Biological	Common standard	फुपु; फुपूआमा	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-025	Paternal uncle-in-law	+1	Paternal	E-F-Z-H	Father's sister's husband	Male	N/A	फुपाजु	phupāju	Husband of paternal aunt	भतिजा/भतिजी	Marriage	Common standard	फुपाबुबा	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-026	Maternal uncle	+1	Maternal	E-M-B	Mother's brother	Male	N/A	मामा	māmā	Maternal uncle	भाञ्जा/भाञ्जी	Biological	Common standard	मामाजु	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-027	Maternal aunt-in-law	+1	Maternal	E-M-B-W	Mother's brother's wife	Female	N/A	माइजू	māijū	Wife of maternal uncle	भाञ्जा/भाञ्जी	Marriage	Common standard	माइजु	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-028	Maternal aunt	+1	Maternal	E-M-Z(o)	Mother's older sister	Female	Older than mother	आमाकी दिदी	āmākī didī	Maternal elder aunt	भाञ्जा/भाञ्जी	Biological	Unambiguous fallback	ठूलीआमा (validate ambiguity)	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported with qualifier	Medium	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-029	Maternal aunt	+1	Maternal	E-M-Z(y)	Mother's younger sister	Female	Younger than mother	सानीआमा	sānīāmā	Maternal younger aunt	भाञ्जा/भाञ्जी	Biological	Requires validation	आमाकी बहिनी	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported with qualifier	Medium	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-030	Maternal uncle-in-law	+1	Maternal	E-M-Z(o)-H	Mother's older sister's husband	Male	N/A	आमाकी दिदीका श्रीमान्	āmākī didīkā shrīmān	Husband of maternal elder aunt	भाञ्जा/भाञ्जी	Marriage	Neutral fallback	ठूलोबुबा (validate)	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported with qualifier	Medium	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-031	Maternal uncle-in-law	+1	Maternal	E-M-Z(y)-H	Mother's younger sister's husband	Male	N/A	सानाबुबा	sānābubā	Husband of maternal younger aunt	भाञ्जा/भाञ्जी	Marriage	Requires validation	सानाबा	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported with qualifier	Medium	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-032	Nibling	-1	Sibling line	E-B-S	Brother's son	Male	N/A	भतिजा	bhatijā	Nephew (brother's son)	काका/फुपू	Biological	Common standard	भतिज	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-033	Nibling	-1	Sibling line	E-B-D	Brother's daughter	Female	N/A	भतिजी	bhatijī	Niece (brother's daughter)	काका/फुपू	Biological	Common standard	—	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-034	Nibling	-1	Sibling line	E-Z-S	Sister's son	Male	N/A	भाञ्जा	bhāñjā	Nephew (sister's son)	मामा/माइजू	Biological	Common standard	भान्जा	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-035	Nibling	-1	Sibling line	E-Z-D	Sister's daughter	Female	N/A	भाञ्जी	bhāñjī	Niece (sister's daughter)	मामा/माइजू	Biological	Common standard	भान्जी	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-036	Sibling spouse	0	Sibling line	E-Z-H	Sister's husband	Male	N/A	भिनाजु	bhināju	Brother-in-law (sister's husband)	सालो/साली	Marriage	Common standard	भेनाजु	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported with qualifier	Medium	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-037	Sibling spouse	0	Sibling line	E-B(o)-W	Older brother's wife	Female	N/A	भाउजू	bhāujū	Sister-in-law (older brother's wife)	देवर/नन्द	Marriage	Common standard	भाउजु	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported with qualifier	Medium	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-038	Sibling spouse	0	Sibling line	E-B(y)-W	Younger brother's wife	Female	N/A	भाइबुहारी	bhāibuhārī	Younger brother's wife	जेठाजु/नन्द	Marriage	Requires validation	भाइकी श्रीमती	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported with qualifier	Medium	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-039	Child spouse	-1	Descendant	E-S-W	Son's wife	Female	N/A	बुहारी	buhārī	Daughter-in-law	ससुरा/सासू	Marriage	Common standard	छोराबुहारी	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-040	Child spouse	-1	Descendant	E-D-H	Daughter's husband	Male	N/A	ज्वाइँ	jvāĩ	Son-in-law	ससुरा/सासू	Marriage	Common standard	जमाइँ	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-041	Spouse parent	+1	In-law	E-SP-F	Spouse's father	Male	N/A	ससुरा	sasurā	Father-in-law	ज्वाइँ/बुहारी	Marriage	Common standard	ससुराबुबा	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-042	Spouse parent	+1	In-law	E-SP-M	Spouse's mother	Female	N/A	सासू	sāsū	Mother-in-law	ज्वाइँ/बुहारी	Marriage	Common standard	सासूआमा	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-043	Husband sibling	0	In-law	E-H-B(o)	Husband's older brother	Male	Older	जेठाजु	jeṭhāju	Husband's older brother	बुहारी	Marriage	Common standard	जेठाज्यू	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported with qualifier	Medium	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-044	Husband sibling	0	In-law	E-H-B(y)	Husband's younger brother	Male	Younger	देवर	devar	Husband's younger brother	भाउजू	Marriage	Common standard	देवरबाबु	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported with qualifier	Medium	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-045	Husband sibling	0	In-law	E-H-Z	Husband's sister	Female	N/A	नन्द	nanda	Husband's sister	भाउजू	Marriage	Common standard	नन्दिनी	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported with qualifier	Medium	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-046	Husband sibling spouse	0	In-law	E-H-B(o)-W	Husband's older brother's wife	Female	N/A	जेठानी	jeṭhānī	Co-sister (elder brother's wife)	देवरानी	Marriage	Requires validation	—	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported with qualifier	Medium	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-047	Husband sibling spouse	0	In-law	E-H-B(y)-W	Husband's younger brother's wife	Female	N/A	देवरानी	devarānī	Co-sister (younger brother's wife)	जेठानी	Marriage	Requires validation	—	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported with qualifier	Medium	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-048	Wife sibling	0	In-law	E-W-B(o)	Wife's older brother	Male	Older	जेठान	jeṭhān	Wife's older brother	भिनाजु	Marriage	Requires validation	जेठानदाइ	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported with qualifier	Medium	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-049	Wife sibling	0	In-law	E-W-B(y)	Wife's younger brother	Male	Younger	सालो	sālo	Wife's younger brother	भिनाजु	Marriage	Common standard	सालाबाबु	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported with qualifier	Medium	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-050	Wife sibling	0	In-law	E-W-Z(o)	Wife's older sister	Female	Older	जेठी साली	jeṭhī sālī	Wife's older sister	भिनाजु	Marriage	Requires validation	श्रीमतीकी दिदी	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported with qualifier	Medium	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-051	Wife sibling	0	In-law	E-W-Z(y)	Wife's younger sister	Female	Younger	साली	sālī	Wife's younger sister	भिनाजु	Marriage	Common standard	कान्छी साली	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported with qualifier	Medium	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-052	Co-parent-in-law	0	Affinal	E-CHILD-SP-PARENT	Child's spouse's father	Male	N/A	सम्धी	samdhī	Co-father-in-law	सम्धी	Marriage	Common standard	सम्धिज्यू	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported with qualifier	Medium	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-053	Co-parent-in-law	0	Affinal	E-CHILD-SP-PARENT	Child's spouse's mother	Female	N/A	सम्धिनी	samdhinī	Co-mother-in-law	सम्धिनी	Marriage	Common standard	सम्धिनीज्यू	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported with qualifier	Medium	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-054	Cousin	0	Paternal	E-F-B-CHILD	Paternal uncle's child	Any	Age-sensitive	काकाको/ठूलोबुबाको छोरा वा छोरी	—	Paternal parallel cousin	Path-dependent	Biological	Neutral fallback	दाजु/भाइ/दिदी/बहिनी by age (validate)	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Culturally/legal sensitive — retain explicit descriptive label	Low	Do not automate as an equivalence; require verified edge/status	Relevant cultural authority; legal/privacy review where status is sensitive
NS-055	Cousin	0	Paternal	E-F-Z-CHILD	Paternal aunt's child	Any	Age-sensitive	फुपूको छोरा वा छोरी	—	Paternal cross-cousin	Path-dependent	Biological	Neutral fallback	दाजु/भाइ/दिदी/बहिनी by age (validate)	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Culturally/legal sensitive — retain explicit descriptive label	Low	Do not automate as an equivalence; require verified edge/status	Relevant cultural authority; legal/privacy review where status is sensitive
NS-056	Cousin	0	Maternal	E-M-B-CHILD	Maternal uncle's child	Any	Age-sensitive	मामाको छोरा वा छोरी	—	Maternal cross-cousin	Path-dependent	Biological	Neutral fallback	दाजु/भाइ/दिदी/बहिनी by age (validate)	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Culturally/legal sensitive — retain explicit descriptive label	Low	Do not automate as an equivalence; require verified edge/status	Relevant cultural authority; legal/privacy review where status is sensitive
NS-057	Cousin	0	Maternal	E-M-Z-CHILD	Maternal aunt's child	Any	Age-sensitive	आमाकी दिदी/बहिनीको छोरा वा छोरी	—	Maternal parallel cousin	Path-dependent	Biological	Neutral fallback	दाजु/भाइ/दिदी/बहिनी by age (validate)	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Culturally/legal sensitive — retain explicit descriptive label	Low	Do not automate as an equivalence; require verified edge/status	Relevant cultural authority; legal/privacy review where status is sensitive
NS-058	Adoptive parent	+1	Legal/social	E-AP(F)	Adoptive father	Male	N/A	दत्तक पिता	dattak pitā	Adoptive father	दत्तक छोरा/छोरी	Adoptive	Use only with a verified adoption record	धर्मपिता (customary/historical)	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Culturally/legal sensitive — retain explicit descriptive label	Low	Do not automate as an equivalence; require verified edge/status	Relevant cultural authority; legal/privacy review where status is sensitive
NS-059	Adoptive parent	+1	Legal/social	E-AP(M)	Adoptive mother	Female	N/A	दत्तक माता	dattak mātā	Adoptive mother	दत्तक छोरा/छोरी	Adoptive	Use only with a verified adoption record	धर्ममाता (customary/historical)	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Culturally/legal sensitive — retain explicit descriptive label	Low	Do not automate as an equivalence; require verified edge/status	Relevant cultural authority; legal/privacy review where status is sensitive
NS-060	Adopted child	-1	Legal/social	E-AC(S)	Adopted son	Male	N/A	दत्तक छोरा	dattak chorā	Adopted son	दत्तक पिता/माता	Adoptive	Legal status must be verified; display privacy-controlled	दत्तक पुत्र; धर्मपुत्र (historical)	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Culturally/legal sensitive — retain explicit descriptive label	Low	Do not automate as an equivalence; require verified edge/status	Relevant cultural authority; legal/privacy review where status is sensitive
NS-061	Adopted child	-1	Legal/social	E-AC(D)	Adopted daughter	Female	N/A	दत्तक छोरी	dattak chorī	Adopted daughter	दत्तक पिता/माता	Adoptive	Legal status must be verified; display privacy-controlled	दत्तक पुत्री; धर्मपुत्री (historical)	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Culturally/legal sensitive — retain explicit descriptive label	Low	Do not automate as an equivalence; require verified edge/status	Relevant cultural authority; legal/privacy review where status is sensitive
NS-062	Step parent	+1	Blended family	E-STP(F)	Stepfather	Male	N/A	सौतेलो बुबा	sautelo bubā	Stepfather	सौतेलो छोरा/सौतेली छोरी	Step	Explicit path only; privacy-controlled	सौतेनी बुबा (usage variant—validate)	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Culturally/legal sensitive — retain explicit descriptive label	Low	Do not automate as an equivalence; require verified edge/status	Relevant cultural authority; legal/privacy review where status is sensitive
NS-063	Step parent	+1	Blended family	E-STP(M)	Stepmother	Female	N/A	सौतेली आमा	sautelī āmā	Stepmother	सौतेलो छोरा/सौतेली छोरी	Step	Explicit path only; privacy-controlled	सौतेनी आमा	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Culturally/legal sensitive — retain explicit descriptive label	Low	Do not automate as an equivalence; require verified edge/status	Relevant cultural authority; legal/privacy review where status is sensitive
NS-064	Step sibling	0	Blended family	E-STB	Stepbrother	Male	Age-sensitive	सौतेनी दाजु/भाइ	sautenī dāju/bhāi	Stepbrother	Path-dependent	Step	Never merge with biological	सौतेलो दाजु/भाइ	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Culturally/legal sensitive — retain explicit descriptive label	Low	Do not automate as an equivalence; require verified edge/status	Relevant cultural authority; legal/privacy review where status is sensitive
NS-065	Step sibling	0	Blended family	E-STZ	Stepsister	Female	Age-sensitive	सौतेनी दिदी/बहिनी	sautenī didī/bahinī	Stepsister	Path-dependent	Step	Never merge with biological	सौतेली दिदी/बहिनी	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Culturally/legal sensitive — retain explicit descriptive label	Low	Do not automate as an equivalence; require verified edge/status	Relevant cultural authority; legal/privacy review where status is sensitive
NS-066	Half sibling	0	Shared one parent	E-HB	Half-brother	Male	Age-sensitive	एकै बुबा वा आमातर्फका दाजु/भाइ	ekai bubā vā āmātarphakā dāju/bhāi	Half-brother	Path-dependent	Half-biological	Descriptive UI label; specify shared parent internally	सौतेलो दाजु/भाइ (ambiguous; do not use as canonical)	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Culturally/legal sensitive — retain explicit descriptive label	Low	Do not automate as an equivalence; require verified edge/status	Relevant cultural authority; legal/privacy review where status is sensitive
